age,wave,gender,age_o,d_age,samerace,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,met,match
25,1,female,22,3,0,8,4,19,18,19,18,14,12,10,10,10,10,10,10,35,10,35,10,10,0,8,9,8,9,8,7,9,9,7,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0.09,4,2,NA,8,7,0,0
25,1,female,23,2,1,8,4,30,5,15,40,5,5,7,9,8,8,8,8,35,10,35,10,10,0,8,9,8,9,8,9,7,9,7,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.04,4,2,NA,8,7,0,0
25,1,female,24,1,0,8,4,30,10,20,10,10,20,6,10,8,6,NA,NA,35,10,35,10,10,0,8,9,8,9,8,9,10,10,10,10,10,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.14,4,2,NA,9,NA,0,0
25,1,female,25,0,1,8,4,50,0,30,10,0,10,7,6,6,6,6,6,35,10,35,10,10,0,8,9,8,9,8,8,10,10,7,9,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.3,4,2,NA,8,NA,0,0
25,1,female,30,5,1,8,4,35,15,25,10,5,10,6,3,5,4,5,4,35,10,35,10,10,0,8,9,8,9,8,8,9,10,7,7,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.26,4,2,NA,8,7,0,0
25,1,female,27,2,1,8,4,33.33,11.11,11.11,11.11,11.11,22.22,4,5,6,4,6,4,35,10,35,10,10,0,8,9,8,9,8,7,9,9,8,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0.29,4,2,NA,8,7,0,0
25,1,female,28,3,1,8,4,50,0,25,10,0,15,7,7,6,8,7,7,35,10,35,10,10,0,8,9,8,9,8,9,9,9,9,9,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.15,4,2,NA,9,7,0,0
25,1,female,24,1,1,8,4,100,0,0,0,0,0,5,6,8,5,8,6,35,10,35,10,10,0,8,9,8,9,8,8,7,9,7,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.47,4,2,NA,8,7,0,0
23,1,female,27,4,1,1,1,35,20,20,20,0,5,6,7,8,7,7,5,20,20,20,20,10,10,7,8,9,7,8,4,10,8,5,8,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,1,2,2,6,7,0,0
23,1,female,22,1,1,1,1,60,0,0,40,0,0,6,5,10,6,6,5,20,20,20,20,10,10,7,8,9,7,8,8,7,8,10,7,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,1,2,2,8,1,1,0
23,1,female,22,1,0,1,1,19,18,19,18,14,12,10,10,10,10,10,10,20,20,20,20,10,10,7,8,9,7,8,4,7,8,8,6,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.05,1,2,2,4,1,0,0
23,1,female,23,0,1,1,1,30,5,15,40,5,5,7,7,7,9,9,9,20,20,20,20,10,10,7,8,9,7,8,8,10,7,10,7,10,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,1,2,2,8,10,1,1
23,1,female,24,1,0,1,1,30,10,20,10,10,20,8,8,9,8,8,9,20,20,20,20,10,10,7,8,9,7,8,6,9,8,9,8,9,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.21,1,2,2,7,7,0,0
23,1,female,25,2,1,1,1,50,0,30,10,0,10,6,6,7,7,8,7,20,20,20,20,10,10,7,8,9,7,8,5,10,8,4,8,2,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.37,1,2,2,4,3,0,0
23,1,female,30,7,1,1,1,35,15,25,10,5,10,7,6,3,5,6,5,20,20,20,20,10,10,7,8,9,7,8,7,10,10,7,10,5,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.35,1,2,2,5,1,0,0
23,1,female,27,4,1,1,1,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,6,6,5,20,20,20,20,10,10,7,8,9,7,8,5,9,9,5,9,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.15,1,2,2,6,6,0,0
23,1,female,28,5,1,1,1,50,0,25,10,0,15,7,7,7,10,9,10,20,20,20,20,10,10,7,8,9,7,8,9,8,10,10,7,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.47,1,2,2,8,8,0,1
23,1,female,24,1,1,1,1,100,0,0,0,0,0,7,8,8,7,8,7,20,20,20,20,10,10,7,8,9,7,8,8,9,10,10,8,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.19,1,2,2,10,8,0,0
21,1,female,27,6,1,8,1,35,20,20,20,0,5,6,8,8,8,7,6,20,5,25,25,10,15,6,3,6,10,8,5,8,8,2,2,2,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.43,7,10,NA,7,5,0,0
21,1,female,22,1,1,8,1,60,0,0,40,0,0,6,7,10,7,6,5,20,5,25,25,10,15,6,3,6,10,8,8,6,6,5,5,5,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0,7,10,NA,6,4,1,0
21,1,female,22,1,0,8,1,19,18,19,18,14,12,10,10,10,10,10,10,20,5,25,25,10,15,6,3,6,10,8,4,6,8,8,6,5,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.17,7,10,NA,6,5,1,0
21,1,female,23,2,1,8,1,30,5,15,40,5,5,6,8,6,8,10,10,20,5,25,25,10,15,6,3,6,10,8,8,5,5,7,7,9,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0.08,7,10,NA,8,2,1,1
21,1,female,24,3,0,8,1,30,10,20,10,10,20,5,9,9,7,9,5,20,5,25,25,10,15,6,3,6,10,8,6,7,7,5,4,8,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.16,7,10,NA,7,4,0,0
21,1,female,25,4,1,8,1,50,0,30,10,0,10,5,8,7,7,7,7,20,5,25,25,10,15,6,3,6,10,8,5,6,7,5,7,8,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0.06,7,10,NA,7,3,0,0
21,1,female,30,9,1,8,1,35,15,25,10,5,10,2,3,4,4,5,3,20,5,25,25,10,15,6,3,6,10,8,6,6,8,5,5,6,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.05,7,10,NA,6,3,0,0
21,1,female,27,6,1,8,1,33.33,11.11,11.11,11.11,11.11,22.22,5,5,6,5,5,5,20,5,25,25,10,15,6,3,6,10,8,5,5,7,6,7,5,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0.07,7,10,NA,6,4,0,0
21,1,female,28,7,1,8,1,50,0,25,10,0,15,5,9,9,9,9,6,20,5,25,25,10,15,6,3,6,10,8,7,5,7,8,7,9,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.13,7,10,NA,9,4,0,1
21,1,female,24,3,1,8,1,100,0,0,0,0,0,3,10,7,7,10,5,20,5,25,25,10,15,6,3,6,10,8,9,6,7,9,6,5,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.06,7,10,NA,10,3,0,0
23,1,female,27,4,0,1,1,35,20,20,20,0,5,7,9,8,9,8,4,10,25,20,25,5,15,5,7,8,9,5,6,9,7,6,7,6,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.33,4,3,4,6,6,0,0
23,1,female,22,1,0,1,1,60,0,0,40,0,0,6,8,10,6,7,6,10,25,20,25,5,15,5,7,8,9,5,6,9,9,6,8,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.37,4,3,4,7,6,0,0
23,1,female,22,1,1,1,1,19,18,19,18,14,12,10,10,10,10,10,10,10,25,20,25,5,15,5,7,8,9,5,4,7,9,4,3,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,-0.51,4,3,4,6,2,1,0
23,1,female,23,0,0,1,1,30,5,15,40,5,5,6,8,8,7,9,8,10,25,20,25,5,15,5,7,8,9,5,8,6,7,8,2,8,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.12,4,3,4,9,4,0,1
23,1,female,24,1,0,1,1,30,10,20,10,10,20,9,7,9,7,9,6,10,25,20,25,5,15,5,7,8,9,5,5,4,8,8,4,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.35,4,3,4,4,3,1,0
23,1,female,25,2,0,1,1,50,0,30,10,0,10,6,6,8,8,8,7,10,25,20,25,5,15,5,7,8,9,5,3,7,6,1,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.19,4,3,4,2,2,0,0
23,1,female,30,7,0,1,1,35,15,25,10,5,10,5,6,8,4,5,4,10,25,20,25,5,15,5,7,8,9,5,8,8,8,8,3,4,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.47,4,3,4,8,7,0,0
23,1,female,27,4,0,1,1,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,7,8,5,10,25,20,25,5,15,5,7,8,9,5,4,8,9,2,8,3,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.03,4,3,4,5,5,0,0
23,1,female,28,5,0,1,1,50,0,25,10,0,15,6,7,7,6,6,6,10,25,20,25,5,15,5,7,8,9,5,7,6,8,8,6,9,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.46,4,3,4,9,6,0,1
23,1,female,24,1,0,1,1,100,0,0,0,0,0,7,10,10,6,10,7,10,25,20,25,5,15,5,7,8,9,5,8,9,9,9,10,7,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.43,4,3,4,9,8,0,0
22,1,female,27,5,0,2,4,35,20,20,20,0,5,7,8,8,8,7,7,15,15,25,20,15,10,6,6,5,7,7,4,8,8,5,7,4,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.19,7,3,2,7,4,0,0
22,1,female,22,0,0,2,4,60,0,0,40,0,0,7,9,10,6,6,5,15,15,25,20,15,10,6,6,5,7,7,6,6,8,4,9,4,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.21,7,3,2,7,3,1,0
22,1,female,22,0,1,2,4,19,18,19,18,14,12,10,10,10,10,10,10,15,15,25,20,15,10,6,6,5,7,7,3,6,8,7,8,8,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.52,7,3,2,7,8,1,0
22,1,female,23,1,0,2,4,30,5,15,40,5,5,8,8,9,8,9,9,15,15,25,20,15,10,6,6,5,7,7,7,8,8,7,7,6,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.46,7,3,2,8,6,1,1
22,1,female,24,2,0,2,4,30,10,20,10,10,20,8,7,9,6,9,5,15,15,25,20,15,10,6,6,5,7,7,4,7,7,4,8,5,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.27,7,3,2,5,6,1,0
22,1,female,25,3,0,2,4,50,0,30,10,0,10,8,8,8,6,6,6,15,15,25,20,15,10,6,6,5,7,7,4,8,7,4,5,4,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.59,7,3,2,5,5,0,0
22,1,female,30,8,0,2,4,35,15,25,10,5,10,7,6,5,4,4,3,15,15,25,20,15,10,6,6,5,7,7,7,7,8,7,7,7,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.31,7,3,2,8,7,0,0
22,1,female,27,5,0,2,4,33.33,11.11,11.11,11.11,11.11,22.22,8,7,6,7,7,5,15,15,25,20,15,10,6,6,5,7,7,5,7,8,5,9,5,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.08,7,3,2,5,7,0,0
22,1,female,28,6,0,2,4,50,0,25,10,0,15,9,7,9,9,9,10,15,15,25,20,15,10,6,6,5,7,7,6,6,8,8,8,6,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.34,7,3,2,6,6,0,1
22,1,female,24,2,0,2,4,100,0,0,0,0,0,7,6,8,6,8,7,15,15,25,20,15,10,6,6,5,7,7,8,6,7,7,8,6,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.16,7,3,2,7,5,0,0
25,1,female,27,2,1,1,1,35,20,20,20,0,5,8,7,6,6,6,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,8,7,4,7,5,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.03,6,10,NA,4,5,0,0
25,1,female,22,3,1,1,1,60,0,0,40,0,0,8,8,10,7,6,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,7,7,9,6,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.11,6,10,NA,8,7,0,1
25,1,female,22,3,0,1,1,19,18,19,18,14,12,10,10,10,10,10,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,8,8,6,7,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.42,6,10,NA,5,5,0,1
25,1,female,23,2,1,1,1,30,5,15,40,5,5,8,8,8,8,8,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,6,5,6,6,5,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.4,6,10,NA,5,6,0,1
25,1,female,24,1,0,1,1,30,10,20,10,10,20,9,9,8,9,NA,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,8,5,6,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.23,6,10,NA,6,5,0,1
25,1,female,25,0,1,1,1,50,0,30,10,0,10,8,7,7,7,8,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,8,5,6,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.28,6,10,NA,6,5,0,1
25,1,female,30,5,1,1,1,35,15,25,10,5,10,6,4,7,5,6,4,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,7,8,5,7,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.05,6,10,NA,6,6,0,0
25,1,female,27,2,1,1,1,33.33,11.11,11.11,11.11,11.11,22.22,9,8,8,8,7,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,6,7,4,5,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.17,6,10,NA,5,4,0,1
25,1,female,28,3,1,1,1,50,0,25,10,0,15,8,7,8,10,8,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,8,5,9,8,9,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.47,6,10,NA,7,10,0,1
25,1,female,24,1,1,1,1,100,0,0,0,0,0,8,10,9,9,8,8,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,7,6,8,7,9,8,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.21,6,10,NA,8,7,0,1
26,1,female,27,1,0,1,1,35,20,20,20,0,5,6,8,7,8,7,5,20,10,20,30,10,10,7,6,10,7,7,8,10,9,8,7,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.19,6,15,1,5,5,0,0
26,1,female,22,4,0,1,1,60,0,0,40,0,0,8,8,10,7,6,5,20,10,20,30,10,10,7,6,10,7,7,10,10,10,10,10,10,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.03,6,15,1,10,5,0,1
26,1,female,22,4,0,1,1,19,18,19,18,14,12,10,10,10,10,10,10,20,10,20,30,10,10,7,6,10,7,7,5,10,10,6,6,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.68,6,15,1,8,5,0,1
26,1,female,23,3,0,1,1,30,5,15,40,5,5,7,8,7,8,8,7,20,10,20,30,10,10,7,6,10,7,7,10,9,8,8,7,7,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.26,6,15,1,7,5,0,1
26,1,female,24,2,0,1,1,30,10,20,10,10,20,7,9,8,9,7,7,20,10,20,30,10,10,7,6,10,7,7,5,10,8,8,5,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.01,6,15,1,5,5,0,1
26,1,female,25,1,0,1,1,50,0,30,10,0,10,6,6,7,8,7,7,20,10,20,30,10,10,7,6,10,7,7,8,9,9,7,6,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.42,6,15,1,6,5,0,1
26,1,female,30,4,0,1,1,35,15,25,10,5,10,8,6,7,8,6,5,20,10,20,30,10,10,7,6,10,7,7,6,8,9,6,6,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.21,6,15,1,7,5,0,1
26,1,female,27,1,0,1,1,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,6,5,20,10,20,30,10,10,7,6,10,7,7,6,7,8,7,9,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.1,6,15,1,7,5,0,0
26,1,female,28,2,0,1,1,50,0,25,10,0,15,6,6,6,7,6,6,20,10,20,30,10,10,7,6,10,7,7,8,5,5,6,5,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.35,6,15,1,7,6,0,1
26,1,female,24,2,0,1,1,100,0,0,0,0,0,5,6,6,6,6,6,20,10,20,30,10,10,7,6,10,7,7,7,8,7,8,7,8,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.23,6,15,1,8,5,0,0
26,1,female,27,1,1,4,4,35,20,20,20,0,5,7,8,7,8,6,5,15,15,15,40,10,5,6,8,10,6,9,6,10,10,6,6,NA,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.3,7,10,NA,6,3,0,0
26,1,female,22,4,1,4,4,60,0,0,40,0,0,1,1,1,1,1,1,15,15,15,40,10,5,6,8,10,6,9,1,1,1,1,1,NA,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.65,7,10,NA,1,1,1,0
26,1,female,22,4,0,4,4,19,18,19,18,14,12,10,10,10,10,10,10,15,15,15,40,10,5,6,8,10,6,9,6,10,10,10,6,NA,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,-0.15,7,10,NA,7,6,0,1
26,1,female,23,3,1,4,4,30,5,15,40,5,5,7,8,7,9,8,8,15,15,15,40,10,5,6,8,10,6,9,10,10,10,10,10,NA,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.17,7,10,NA,10,1,1,0
26,1,female,24,2,0,4,4,30,10,20,10,10,20,6,9,9,7,8,NA,15,15,15,40,10,5,6,8,10,6,9,5,7,7,7,7,NA,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.24,7,10,NA,6,1,0,0
26,1,female,25,1,1,4,4,50,0,30,10,0,10,NA,8,7,7,7,7,15,15,15,40,10,5,6,8,10,6,9,5,10,6,4,6,NA,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.15,7,10,NA,6,1,0,0
26,1,female,30,4,1,4,4,35,15,25,10,5,10,7,7,4,3,4,4,15,15,15,40,10,5,6,8,10,6,9,5,10,8,6,9,NA,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.41,7,10,NA,7,1,0,0
26,1,female,27,1,1,4,4,33.33,11.11,11.11,11.11,11.11,22.22,6,6,6,6,6,5,15,15,15,40,10,5,6,8,10,6,9,5,6,6,4,5,NA,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.07,7,10,NA,5,5,0,0
26,1,female,28,2,1,4,4,50,0,25,10,0,15,7,7,7,7,6,6,15,15,15,40,10,5,6,8,10,6,9,9,9,9,9,9,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.49,7,10,NA,9,9,0,1
26,1,female,24,2,1,4,4,100,0,0,0,0,0,6,6,6,6,6,6,15,15,15,40,10,5,6,8,10,6,9,9,9,8,10,8,8,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.08,7,10,NA,9,10,0,0
27,1,male,21,6,0,7,3,15,20,20,15,15,15,6,9,7,7,6,5,35,20,20,20,0,5,8,9,7,8,5,6,8,8,8,8,6,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,0.14,7,3,0,7,4,0,0
27,1,male,24,3,1,7,3,45,5,25,20,0,5,5,7,8,4,6,3,35,20,20,20,0,5,8,9,7,8,5,8,7,6,9,7,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,0.29,7,3,0,7,2,0,0
